cwd
detached
uid
gid
shell
argv0
windowsHide
windowsVerbatimArguments
env
NODE_V8_COVERAGE
timeout
killSignal
stdio
input
encoding
error
nullable
name
origin
codeGeneration
microtaskMode
filename
cachedData
contextName
contextOrigin
contextCodeGeneration
contextExtensions
TERM
async
main
exports
imports
type
signal
href
errno
loaded
